subject,block,A,C,mu_ta,mu_fl,mu_ss,mu_rs2,ter
51,1,0.267,0.204,0.201,0.059,0.433,1.101,0.003
51,2,0.339,0.157,0.136,0.134,0.44,1.249,0.003
51,3,0.179,0.101,0.094,0.112,0.34,1.358,0.19
51,4,0.315,0.154,0.244,0.234,0.394,1.097,0.066
52,1,0.148,0.157,0.076,0.073,0.315,1.466,0.122
52,2,0.174,0.136,0.117,0.193,0.367,1.195,0.137
52,3,0.137,0.109,0.054,0.138,0.32,1.288,0.205
52,4,0.133,0.088,0.051,0.182,0.393,1.122,0.242
53,1,0.143,0.116,0.114,0.179,0.318,1.264,0.245
53,2,0.174,0.091,0.096,0.31,0.351,1.23,0.28
53,3,0.229,0.097,0.123,0.126,0.359,1.215,0.213
53,4,0.154,0.101,0.003,0.23,0.356,1.285,0.256
54,1,0.233,0.12,0.111,0.078,0.326,1.248,0.246
54,2,0.277,0.061,0.087,0.05,0.348,1.298,0.28
54,3,0.209,0.076,0.096,0.032,0.355,1.322,0.291
54,4,0.185,0.086,0.101,0.004,0.368,1.317,0.303
55,1,0.465,0.049,0.068,0.198,0.383,1.179,0.11
55,2,0.125,0.091,0.075,0.192,0.496,1.056,0.31
55,3,0.146,0.068,0.099,0.183,0.363,1.299,0.338
55,4,0.218,0.064,0.19,0.287,0.397,1.005,0.239
56,1,0.087,0.079,0.118,0.114,0.41,1.316,0.259
56,2,0.078,0.074,0.244,0.218,0.349,1.216,0.283
56,3,0.089,0.087,0.095,0.146,0.418,1.309,0.244
56,4,0.115,0.081,0.143,0.193,0.425,1.319,0.228
57,1,0.166,0.116,0.097,0.101,0.307,1.348,0.202
57,2,0.172,0.104,0.128,0.08,0.313,1.322,0.221
57,3,0.136,0.142,0.003,0.016,0.283,1.479,0.092
57,4,0.117,0.091,0.043,0.02,0.34,1.381,0.229
58,1,0.092,0.111,0.041,0.072,0.492,1.318,0.323
58,2,0.095,0.048,0.042,0.18,0.367,1.303,0.367
58,3,0.157,0.091,0.179,0.057,0.373,1.334,0.251
58,4,0.178,0.091,0.357,0.093,0.445,1.149,0.258
59,1,0.102,0.078,0.013,0.024,0.298,1.445,0.273
59,2,0.13,0.1,0.067,0.127,0.375,1.392,0.207
59,3,0.093,0.072,0.112,0.098,0.349,1.371,0.259
59,4,0.247,0.139,0.272,0.183,0.64,0.926,0.09
60,1,0.09,0.121,0.08,0,0.371,1.402,0.422
60,2,0.08,0.087,0.103,0.062,0.321,1.316,0.444
60,3,0.102,0.089,0.099,0.075,0.32,1.303,0.396
60,4,0.363,0.106,0.103,0.001,0.352,1.372,0.158
61,1,0.09,0.123,0.083,0.071,0.381,1.242,0.421
61,2,0.233,0.091,0.115,0.089,0.32,1.295,0.236
61,3,0.128,0.112,0.134,0.17,0.314,1.27,0.258
61,4,0.171,0.086,0.061,0.326,0.409,1.143,0.25
62,1,0.092,0.16,0.003,0.004,0.321,1.598,0.154
62,2,0.077,0.13,0.032,0.029,0.3,1.417,0.251
62,3,0.075,0.109,0.001,0.001,0.266,1.573,0.238
62,4,0.09,0.103,0.003,0.005,0.322,1.462,0.241
63,1,0.077,0.07,0.02,0.078,0.288,1.408,0.297
63,2,0.073,0.079,0.065,0.12,0.404,1.33,0.291
63,3,0.078,0.092,0.047,0.134,0.448,1.336,0.256
63,4,0.058,0.064,0.118,0.165,0.417,1.281,0.319
64,1,0.181,0.123,0.121,0.097,0.295,1.341,0.19
64,2,0.084,0.102,0.002,0.052,0.293,1.403,0.269
64,3,0.053,0.18,0.142,0.005,0.342,1.175,0.49
64,4,0.065,0.183,0.134,0,0.219,1.14,0.437
65,1,0.123,0.082,0.002,0.004,0.333,1.445,0.248
65,2,0.097,0.101,0.007,0.032,0.348,1.457,0.214
65,3,0.17,0.111,0.026,0.095,0.453,1.398,0.178
65,4,0.187,0.084,0.176,0.158,0.503,1.007,0.216
66,1,0.265,0.062,0.093,0.086,0.313,1.307,0.272
66,2,0.253,0.071,0.102,0.086,0.325,1.308,0.253
66,3,0.143,0.082,0.09,0.096,0.378,1.237,0.294
66,4,0.104,0.074,0.018,0.15,0.318,1.344,0.344
67,1,0.232,0.097,0.093,0.06,0.323,1.317,0.293
67,2,0.237,0.072,0.183,0.001,0.388,1.118,0.392
67,3,0.269,0.137,0.037,0.003,0.405,1.411,0.264
67,4,0.283,0.088,0.078,0.042,0.324,1.33,0.273
68,1,0.107,0.079,0.006,0.237,0.336,1.245,0.279
68,2,0.087,0.09,0.114,0.075,0.31,1.357,0.322
68,3,0.14,0.081,0.017,0.171,0.386,1.263,0.292
